"filename", "language", "JavaScript", "SCSS", "comment", "blank", "total"
"e:\dianuo\src\component\NavBar\index.js", "JavaScript", 0, 0, -1, 0, -1
"e:\dianuo\src\component\PageMidNav\index.js", "JavaScript", 12, 0, 2, 2, 16
"e:\dianuo\src\pages\About\FirmHonor\index.js", "JavaScript", -2, 0, 0, 0, -2
"e:\dianuo\src\pages\Product\all\index.js", "JavaScript", 75, 0, 3, 14, 92
"e:\dianuo\src\pages\Product\all\index.scss", "SCSS", 0, 0, 0, 1, 1
"e:\dianuo\src\pages\Product\detail\index.js", "JavaScript", 146, 0, 9, 18, 173
"e:\dianuo\src\pages\Product\detail\index.scss", "SCSS", 0, 93, 0, 18, 111
"e:\dianuo\src\pages\Product\fxy\index.js", "JavaScript", 75, 0, 3, 14, 92
"e:\dianuo\src\pages\Product\fxy\index.scss", "SCSS", 0, 0, 0, 1, 1
"e:\dianuo\src\pages\Product\hc\index.js", "JavaScript", 75, 0, 3, 14, 92
"e:\dianuo\src\pages\Product\hc\index.scss", "SCSS", 0, 0, 0, 1, 1
"e:\dianuo\src\pages\Product\index.js", "JavaScript", -69, 0, -3, -12, -84
"e:\dianuo\src\pages\Product\newPro\index.js", "JavaScript", 18, 0, 0, 3, 21
"e:\dianuo\src\pages\Product\newPro\index.scss", "SCSS", 0, 31, 2, 3, 36
"e:\dianuo\src\pages\Product\other\index.js", "JavaScript", 72, 0, 3, 12, 87
"e:\dianuo\src\pages\Product\other\index.scss", "SCSS", 0, 0, 0, 1, 1
"e:\dianuo\src\pages\Product\sj\index.js", "JavaScript", 75, 0, 3, 14, 92
"e:\dianuo\src\pages\Product\sj\index.scss", "SCSS", 0, 0, 0, 1, 1
"e:\dianuo\src\pages\Recruit\jobdetail\index.js", "JavaScript", 69, 0, 1, 14, 84
"e:\dianuo\src\pages\Recruit\jobdetail\index.scss", "SCSS", 0, 43, 1, 8, 52
"e:\dianuo\src\pages\Recruit\position\index.js", "JavaScript", 42, 0, 1, 7, 50
"e:\dianuo\src\pages\Recruit\position\index.scss", "SCSS", 0, 68, 1, 13, 82
"e:\dianuo\src\pages\Recruit\requirement\index.js", "JavaScript", 19, 0, 0, 3, 22
"e:\dianuo\src\pages\Recruit\requirement\index.scss", "SCSS", 0, 48, 2, 10, 60
"e:\dianuo\src\pages\Service\aftersale\index.js", "JavaScript", 31, 0, 0, 7, 38
"e:\dianuo\src\pages\Service\aftersale\index.scss", "SCSS", 0, 81, 2, 12, 95
"e:\dianuo\src\pages\Service\video\index.js", "JavaScript", 49, 0, 37, 16, 102
"e:\dianuo\src\pages\Service\video\index.scss", "SCSS", 0, 42, 3, 6, 51
"e:\dianuo\src\router\index.js", "JavaScript", 19, 0, 0, 0, 19
"e:\dianuo\src\store\index.js", "JavaScript", 6, 0, 0, 0, 6
"e:\dianuo\src\store\modules\jobDetailStore.js", "JavaScript", 28, 0, 3, 6, 37
"e:\dianuo\src\store\modules\navBarStore.js", "JavaScript", 0, 0, -1, 0, -1
"e:\dianuo\src\store\modules\recruitPositionStore.js", "JavaScript", 28, 0, 4, 6, 38
"e:\dianuo\src\store\modules\serviceVideoStore.js", "JavaScript", 34, 0, 3, 6, 43
"Total", "-", 802, 406, 81, 219, 1508
